display  D   display_settings.c:202  debug_display_settings           [   0.08576] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08578] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08579] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08581] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08583] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08585] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08587] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08589] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08590] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08592] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08594] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08596] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08598] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08600] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08602] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08604] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08606] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08608] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08609] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08611] Single Buffer requirement not met.
